180		Filled: 180 out of 180; 0 responses to go!	Filled: 4 out of 180; 176 responses to go!		Filled: 180 out of 180; 0 responses to go!		Filled: 0 out of 180; 180 responses to go!	Filled: 0 out of 180; 180 responses to go!	Filled: 0 out of 180; 180 responses to go!		
No	Prompts	BLOOMZ Responses	Hallucinations (0 / 1)	Hallucinations (explanation if 1)	Code-switchness (0 / 0.5 / 1 / 2 / 3)	As explanation / translation	Matrix Language	ChatGPT Version	Cleaned CM Text	Naturalness	Comment
1	Write an English and Indonesian code-mixed sentence about food.	The chicken is cooked with ginger, garlic clove, onions and salt inside the pot			0						
2	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about food?	Here is an example: W: Hi Mariam. How was your trip yesterday?  M: Oh! It was great fun just like I expected it would be.  W: I'm glad. Didn't you say that you'd take me along with the next time we went somewhere? M: Yeah... All right then			0						
3	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about food?	Indonesian fried rice is served with chicken, eggs and vegetables on the side.			0						
4	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about food?	What kind of Indonesian dish does this look like to me!			0						
5	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about food.	“Oh, what’s that? That looks interesting!”			0						
6	Imagine that you are an Indonesian speaker. How would you talk about food using both English and Indonesian in a single sentence?	Imagine you're speaking with someone who doesn't speak any English at all, but does understand Indonesian: Say 'Aku mau makan hotdog' or 'Saya mau makan hotdog.			0	intersentential					
7	Write an English and Indonesian code-mixed sentence about Artificial Intelligence.	Artificial intelligence adalah ilmu komputer yang mempelajari kecerdasan mandiri dalam mesin, sering kali merujuk pada mesin pintar dan robot seperti Terminator atau Kecerdasan Buatan seperti Watson dari IBM.			0.5						
8	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about Artificial Intelligence?	A: Hey Bobby! How do I use that new application with the artificial intelligence for teaching our kids English? B: Yeah. It's been so difficult finding something interesting and interactive enough for them...			0						
9	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about Artificial Intelligence?	An artificial intelligence is software that has the power to learn, reason and adapt by itself from data			0						
10	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about Artificial Intelligence?	Artificial intelligence is the study of intelligent machines.			0						
11	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about Artificial Intelligence.	Kecerdasan Buatan telah mendapatkan ketenaran dalam beberapa tahun terakhir akibat kemunculannya dalam film dan acara televisi seperti Westworld, Humans atau bahkan The Terminator 3. Bahkan ada yang mengatakan bahwa Anda akan bertemu dengannya suatu hari nanti di ruang angkasa! Saat ini, sistem AI digunakan pada mesin untuk membantu mereka melakukan tugas-tugas manusia dengan lebih efisien daripada manual.  Misalnya, kita bisa melihat aplikasi sistem kecerdasan buatan sekarang...			0						
