180		Filled: 180 out of 180; 0 responses to go!	Filled: 3 out of 180; 177 responses to go!		Filled: 180 out of 180; 0 responses to go!		Filled: 6 out of 180; 174 responses to go!	Filled: 0 out of 180; 180 responses to go!	Filled: 0 out of 180; 180 responses to go!		
No	Prompts	GPT3 Responses	Hallucinations (0 / 1)	Hallucinations (explanation if 1)	Code-switchness (0 / 0.5 / 1 / 2 / 3)	As explanation / translation	Matrix Language	ChatGPT Version	Cleaned CM Text	Naturalness	Comment
1	Write an English and Indonesian code-mixed sentence about food.	I'm always in the mood for some nasi goreng!			0.5					5	-
2	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about food?	A: What's your favorite food? B: I love Indonesian food, especially nasi goreng. A: Yeah, I love nasi goreng too!			0.5					0	English with Indonesian entities
3	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about food?	My mom always cooks my favorite food when I come home from school.			0					4	"it's so enak" sounds a bit unnatural
4	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about food?	Saya  suka makan ayam goreng karena enak dan sehat.			0					5	"yang enak" a bit weird, but not a code-mixed problem
5	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about food.	"I love food! I just had some nasi goreng for breakfast and it was delicious!"			0.5					4	The language shift seems a bit unnatural
6	Imagine that you are an Indonesian speaker. How would you talk about food using both English and Indonesian in a single sentence?	I food Indonesian very like.	1	broken english	0					4	"karena they are so delicious" sounds a bit weird
7	Write an English and Indonesian code-mixed sentence about Artificial Intelligence.	Artificial Intelligence bisa membantu untuk meningkatkan produktivitas kerja.			0.5					0	It is an Indonesian sentence except for the AI part
8	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about Artificial Intelligence?	A1: So, what do you think about Artificial Intelligence? A2: Well, I think it's amazing. It's definitely changing the way we live and work. A1: I completely agree. It's amazing how much progress we've made in such a short amount of time. A2: Yes, it's definitely changing the world.			0					0	It is an Indonesian sentence except for the AI part
9	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about Artificial Intelligence?	Saya belajar tentang Artificial Intelligence di universitas.			0.5					0	It is an Indonesian sentence except for the AI part
10	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about Artificial Intelligence?	Saya rasa intelijen buatan itu menyeramkan.			0					0	It is an Indonesian sentence except for the AI part
11	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about Artificial Intelligence.	"Artificial Intelligence is amazing! It can help us do so many things."			0					4	The language shift seems a bit unnatural
12	Imagine that you are an Indonesian speaker. How would you talk about Artificial Intelligence using both English and Indonesian in a single sentence?	I am an Indonesian speaker and I would talk about Artificial Intelligence using both English and Indonesian in a single sentence.			0					0	It is an Indonesian sentence except for the AI part
13	Write an English and Indonesian code-mixed sentence about family.	My family is very important to me.   Keluargaku sangat penting bagiku.			0					5	-
14	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about family?	A: I have a big family. B: Oh, how many people are in your family? A: There are six of us. My parents, two sisters, a brother, and me. B: Wow, that's a lot of people. Do you all live close to each other? A: No, we're actually pretty spread out. My parents live in England, my sisters live in Australia and Canada, my brother lives in Thailand, and I live in Indonesia. B: That's so interesting. I'm actually from Indonesia too. A: Oh, really? What part of			0					0	All are Indonesian sentences
15	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about family?	My family is very important to me.			0					5	-
16	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about family?	My family is very important to me.			0					4	The language shift seems a bit unnatural
17	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about family.	"My family is very important to me. They are always there for me when I need them."			0						
18	Imagine that you are an Indonesian speaker. How would you talk about family using both English and Indonesian in a single sentence?	I come from a large family - Saya berasal dari keluarga yang besar.			0						
19	Write an English and Indonesian code-mixed sentence about traffic.	Traffic in Jakarta is very jam.   Lalu lintas di Jakarta sangat padat.			0						
20	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about traffic?	A: The traffic was so bad this morning, I was stuck in traffic for an hour! B: Yeah, I know. The traffic in this city is really terrible.			0						
21	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about traffic?	I was so mad at the traffic Jam.			0						
22	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about traffic?	traffic macet sekarang.			1						
23	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about traffic.	"The traffic is really bad today, it's so frustrating."			0						
24	Imagine that you are an Indonesian speaker. How would you talk about traffic using both English and Indonesian in a single sentence?	I was stuck in traffic for two hours. Terpaksa berjam-jam di jalan karena macet.			0						
25	Write an English and Indonesian code-mixed sentence about weather.	It looks like it's going to rain, tapi aku tidak ingin hujan.			2						
26	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about weather?	D: Hi! How are you? B: Hi! I'm fine, thank you. How's the weather? D: It's sunny today. B: It's cloudy in Jakarta.			0						
27	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about weather?	The weather is so nice today, I wish it could be like this all the time!			0						
28	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about weather?	The weather is very hot today.   Cuaca sangat panas hari ini.			0						
29	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about weather.	Today the weather is really nice, it's sunny and not too hot.			0						
30	Imagine that you are an Indonesian speaker. How would you talk about weather using both English and Indonesian in a single sentence?	I'm wondering whether it will rain today or not, tapi cuacanya enak-enak aja nih.			2						
31	Write an English and Malay code-mixed sentence about food.	I'm so full, I can't eat another bite!   Saya sangat kenyang, saya tidak boleh makan lagi!			0						
32	Imagine there are two English-Malay bilingual speakers talking to each other, can you imagine a conversation between them talking about food?	"What's your favorite food?" "I love nasi lemak. It's my favorite Malaysian dish." "I've never had it before. What's in it?" "Rice, coconut milk, anchovies, peanuts, and a hard-boiled egg." "Sounds delicious. I'd love to try it."			0.5						
33	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Malay sentence about food?	I can't decide what to eat for dinner, kari ayam or nasi lemak?			1						
34	Assuming that you are an English-Malay bilingual speaker, how would you write a natural English-Malay code-mixed sentence about food?	I love to eat ayam goreng.			1						
35	Imitate the speaking style of a person who can speak English and Malay in one sentence about food.	I luv food. I eat chicken rendang and nasi lemak all day.			0.5						
36	Imagine that you are a Malaysian speaker. How would you talk about food using both English and Malay in a single sentence?	"I'm starved, let's go get some food" in Malaysian would be "Saya lapar, mari pergi makan"			0	translation					
37	Write an English and Malay code-mixed sentence about Artificial Intelligence.	Artificial Intelligence is getting more and more popular each day.			0						
38	Imagine there are two English-Malay bilingual speakers talking to each other, can you imagine a conversation between them talking about Artificial Intelligence?	A: Let's talk about Artificial Intelligence. B: Sure. What do you want to know about AI? A: Well, I've been hearing a lot about AI lately. But I'm not really sure what it is. Can you explain it to me? B: AI is basically when a computer is programmed to do things that ordinarily require human intelligence, like understanding natural language and recognizing patterns. A: I see. So it's like the computer is imitating human intelligence. B: Exactly.			0						
39	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Malay sentence about Artificial Intelligence?	He said that the development of Artificial Intelligence is very important for the future of mankind.			0						
40	Assuming that you are an English-Malay bilingual speaker, how would you write a natural English-Malay code-mixed sentence about Artificial Intelligence?	What is the Malay word for "Artificial Intelligence"?			0						
41	Imitate the speaking style of a person who can speak English and Malay in one sentence about Artificial Intelligence.	"Artificial Intelligence is a amazing tool that can help us to automate processes and make our lives easier."			0						
42	Imagine that you are a Malaysian speaker. How would you talk about Artificial Intelligence using both English and Malay in a single sentence?	I am interested in Artificial Intelligence because it is a new and innovative way to learn and process information.			0						
43	Write an English and Malay code-mixed sentence about family.	My family is very important to me.			0						
44	Imagine there are two English-Malay bilingual speakers talking to each other, can you imagine a conversation between them talking about family?	A: Do you have any siblings? B: Yes, I have two brothers and a sister. A: Wow, do you all get along? B: For the most part, yes. We fight like any other siblings, but we are close.			0						
45	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Malay sentence about family?	My family is the best!			0						
46	Assuming that you are an English-Malay bilingual speaker, how would you write a natural English-Malay code-mixed sentence about family?	Kamu tahu, my family is the most important thing to me.			2						
47	Imitate the speaking style of a person who can speak English and Malay in one sentence about family.	"My family is big and we all live together in one house. My parents are from Malaysia and they speak Malay, but I was born here in America and I speak English."			0						
48	Imagine that you are a Malaysian speaker. How would you talk about family using both English and Malay in a single sentence?	Our family is very close, even though we don't all live together. Kami berada dekat walaupun kami tidak tinggal bersama.			0	Translation					
49	Write an English and Malay code-mixed sentence about traffic.	The traffic was horrible today.			0						
50	Imagine there are two English-Malay bilingual speakers talking to each other, can you imagine a conversation between them talking about traffic?	"The traffic is really bad today." "Yes, I'm stuck in traffic right now." "I hope the traffic clears up soon." "I don't think it will. The traffic is always bad during rush hour."			0						
51	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Malay sentence about traffic?	The traffic was so bad that I was stuck in my car for hours.			0						
