180		Filled: 180 out of 180; 0 responses to go!	Filled: 54 out of 180; 126 responses to go!		Filled: 180 out of 180; 0 responses to go!		Filled: 0 out of 180; 180 responses to go!	Filled: 0 out of 180; 180 responses to go!	Filled: 0 out of 180; 180 responses to go!		
No	Prompts	FLAN-T5-xxl Responses	Hallucinations (0 / 1)	Hallucinations (explanation if 1)	Code-switchness (0 / 0.5 / 1 / 2 / 3)	As explanation / translation	Matrix Language	ChatGPT Version	Cleaned CM Text	Naturalness	Comment
1	Write an English and Indonesian code-mixed sentence about food.	Ikan kecil yang dijiturkan di bandung oleh resmi pendekatan.	1	nonsense/disfluent	0					5	-
2	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about food?	M: What do you think of the food at the party? Are they good?W: The food at the party is okay, but you don't have to eat it.			0					0	English with Indonesian entities
3	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about food?	The shrimps are very fresh.			0					4	"it's so enak" sounds a bit unnatural
4	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about food?	Ini adalah sebuah udara untuk pengobatan minyak dan di sekitar kehidupan.	1	nonsense/disfluent	0					5	"yang enak" a bit weird, but not a code-mixed problem
5	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about food.	Yani tidak menggunakan bentuk dan pengembangnya dimana-mana yang digunakan adalah beberapa bentuk.	1	nonsense/disfluent	0					4	The language shift seems a bit unnatural
6	Imagine that you are an Indonesian speaker. How would you talk about food using both English and Indonesian in a single sentence?	tidak membantu membatalkan jalan di sekitar angin atas sakit, seperti yang akan menuju pencarian dan kemas.	1	nonsense/disfluent	0					4	"karena they are so delicious" sounds a bit weird
7	Write an English and Indonesian code-mixed sentence about Artificial Intelligence.	Artificial Intelligence			0					0	It is an Indonesian sentence except for the AI part
8	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about Artificial Intelligence?	W: What is Artificial Intelligence?M: Artificial Intelligence is a branch of computer science that deals with the study of the creation of intelligent computers.			0					0	It is an Indonesian sentence except for the AI part
9	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about Artificial Intelligence?	Artificial Intelligence link dalam membatalkan layanan komputer yang mengganti komputer dan mengidentifikasi masalah, tetapi, yang lainnya, tetapi tidak.	1	nonsense/disfluent	0.5					0	It is an Indonesian sentence except for the AI part
10	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about Artificial Intelligence?	Artificial Intelligence adalah sebuah komputer membawa dan mengajarkan bahwa dia telah menemukan akses ke pengacara yang mencurigakan.	1	nonsense/disfluent	0.5					0	It is an Indonesian sentence except for the AI part
11	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about Artificial Intelligence.	Ahli Teknologi Artificial Intelligence			0.5					4	The language shift seems a bit unnatural
12	Imagine that you are an Indonesian speaker. How would you talk about Artificial Intelligence using both English and Indonesian in a single sentence?	Artificial Intelligence			0					0	It is an Indonesian sentence except for the AI part
13	Write an English and Indonesian code-mixed sentence about family.	Penggugat yang berbanding oleh semua orang kecuali tetapi memenangkan kuliah yang menghargai kuasa.	1	nonsense/disfluent	0					5	-
14	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about family?	W: How long have you been living in this family?M: I have been living here for a year already.W: How long has the relationship between you and your family been?M: We met just recently.W: That is really good.M: Well, that is a very nice family.W: Me too.			0					0	All are Indonesian sentences
15	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about family?	Family is a group of people who share the same residence.			0					5	-
16	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about family?	The family is the most important unit in human society.			0					4	The language shift seems a bit unnatural
17	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about family.	Jadi jika kenyataan mengenai perdana dan tindakan dan kulit menjadi sebuah pendukung, Anda akan mengimbangkan orang lain sebelumnya sehingga terlibat dan teramput.	1	nonsense/disfluent	0						
18	Imagine that you are an Indonesian speaker. How would you talk about family using both English and Indonesian in a single sentence?	keluarga - perempat keluarga dari keluarga.	1	nonsense/disfluent	0						
19	Write an English and Indonesian code-mixed sentence about traffic.	Traffic information			0						
20	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about traffic?	M: All the traffic in the city is so bad.W: What happened?M: I can't go anywhere, and my girlfriend's car is broken.W: What should I do?M: Wait for a while, please.W: I'll get the tow truck.			0						
21	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about traffic?	Para penonton menemukan bahwa angkasa memperoleh kejadian.	1	nonsense/disfluent	0						
22	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about traffic?	Damage to the vehicle is the result of a collision with another vehicle.			0						
23	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about traffic.	Dia mengatakan, 'Kami suka untuk membatalkan kejadian dan pengembangan pesawat.'	1	nonsense/disfluent	0						
24	Imagine that you are an Indonesian speaker. How would you talk about traffic using both English and Indonesian in a single sentence?	Para pengacara harus membuka kejadian di atas sel kebijakan.	1	nonsense/disfluent	0						
25	Write an English and Indonesian code-mixed sentence about weather.	Weather in Ipoh			0						
26	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about weather?	M: Is it raining today?W: No, it is a nice sunny day.			0						
27	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about weather?	Radar yang dibuat dari gambar yang tidak diatur.			0.5						
28	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about weather?	Temperature dibawah 79 Fahrenheit dengan kejadian dingin.			0						
29	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about weather.	Sekarang kehilangan untuk mengalokasikan tempat keringinan.	1	nonsense/disfluent	0						
30	Imagine that you are an Indonesian speaker. How would you talk about weather using both English and Indonesian in a single sentence?	Meteorologist adalah pemimpin yang mendukung pengobatan dan melakukan pengukuran prediksi.	1	nonsensical: "meteorologist is a leader that supports recovery?????"	0.5						
31	Write an English and Malay code-mixed sentence about food.	Dia mengangkat tangan dan akan berbagi teh ada yang tepat.	1	semantically incorrect	0						
32	Imagine there are two English-Malay bilingual speakers talking to each other, can you imagine a conversation between them talking about food?	W: The recipe is here.M: How to make a fried rice?W: Here it is.			0						
33	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Malay sentence about food?	I ordered the bolognese.			0						
34	Assuming that you are an English-Malay bilingual speaker, how would you write a natural English-Malay code-mixed sentence about food?	Ayam penyet yang ekonomi membakar di daerah yang kecil, dan satu udara yang tetap berat.	1	nonsense/disfluent	0						
