180		Filled: 180 out of 180; 0 responses to go!	Filled: 10 out of 180; 170 responses to go!		Filled: 180 out of 180; 0 responses to go!		Filled: 28 out of 180; 152 responses to go!	Filled: 0 out of 180; 180 responses to go!	Filled: 0 out of 180; 180 responses to go!		
No	Prompts	GPT3 Responses	Hallucinations (0 / 1)	Hallucinations (explanation if 1)	Code-switchness (0 / 0.5 / 1 / 2 / 3)	As explanation / translation	Matrix Language	ChatGPT Version	Cleaned CM Text	Naturalness	Comment
1	Write an English and Indonesian code-mixed sentence about food.	I love to berkuliner whenever I go to Indonesia - Aku suka sekali berkuliner setiap kali aku ke Indonesia.			1					5	-
2	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about food?	English speaker: I just had the most amazing Nasi Goreng for dinner! Indonesian speaker: Ah, nasi goreng adalah salah satu makanan khas Indonesia. Apakah kamu suka makanan Indonesia lainnya? English speaker: I really like Gado-gado and Ayam Penyet. Both of them are delicious! Indonesian speaker: Ya, Gado-gado dan ayam penyet adalah sangat enak! Apa makanan lain yang kamu suka? English speaker:			1					0	English with Indonesian entities
3	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about food?	"Makanlah bubur ayam, itu enak banget!"			0					4	"it's so enak" sounds a bit unnatural
4	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about food?	Makan sate ayam enak sekali ya!			0					5	"yang enak" a bit weird, but not a code-mixed problem
5	Imitate the speaking style of a person who can speak English and Indonesian in one sentence about food.	"I don't know what to makan for dinner, saya bingung!"			2					4	The language shift seems a bit unnatural
6	Imagine that you are an Indonesian speaker. How would you talk about food using both English and Indonesian in a single sentence?	"Makanan Indonesia sungguh enak sekali!" - "Indonesian food is really delicious!"			0					4	"karena they are so delicious" sounds a bit weird
7	Write an English and Indonesian code-mixed sentence about Artificial Intelligence.	English: "Artificial Intelligence has been the driving force behind many of the major technological innovations we've seen in recent years." Indonesian: "Intelijen Buatan telah menjadi daya dorong di balik banyak inovasi teknologi utama yang kita lihat dalam beberapa tahun terakhir."			0					0	It is an Indonesian sentence except for the AI part
8	Imagine there are two English-Indonesian bilingual speakers talking to each other, can you imagine a conversation between them talking about Artificial Intelligence?	A: Apa pendapatmu mengenai Artificial Intelligence? (What’s your opinion about Artificial Intelligence?)   B: Aku sangat tertarik dengan potensinya. Saya rasa AI dapat membantu kita dalam berbagai hal, seperti meningkatkan produktivitas, menyederhanakan pekerjaan rumit, dan membantu kita bekerja lebih cepat. (I'm really interested in its potential. I think AI can help us in many ways, such			0.5					0	It is an Indonesian sentence except for the AI part
9	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Indonesian sentence about Artificial Intelligence?	"Teknologi Artificial Intelligence adalah sesuatu yang menghasilkan kemajuan yang luar biasa dalam dunia kita hari ini."			0.5					0	It is an Indonesian sentence except for the AI part
10	Assuming that you are an English-Indonesian bilingual speaker, how would you write a natural English-Indonesian code-mixed sentence about Artificial Intelligence?	"Saya tertarik dengan Teknologi Intelegensi Buatan untuk melihat bagaimana AI dapat menerapkan ilmunya untuk membantu manusia!"			0.5					0	It is an Indonesian sentence except for the AI part
